,Title,Content,Predicted Category,Actual Category,LLM Output
20,Eva Ingolf, Eva Ingolf is a well known Icelandic violinist particularly recognized for her authoritative performances of solo works by J. S. Bach. She comes from a leading musical family and her father Ingólfur Guðbrandsson premiered many of the great choral works in Iceland and six of her sisters and brothers are professional musicians who have made an important contribution to the high quality of the musical life in the country.Eva Ingolf currently lives in New York City with her husband Kristinn Sv.,OfficeHolder,Artist,4
21,Harley Peyton, Harley Peyton is an American television producer and writer. He worked in both capacities on Twin Peaks and was nominated for an Emmy Award for his writing on the series. He went to Harvard and Stanford.,OfficeHolder,Artist,4
22,Geoffrey A. Landis, Geoffrey Alan Landis (born May 28 1955) is an American scientist working for the National Aeronautics and Space Administration (NASA) on planetary exploration interstellar propulsion solar power and photovoltaics.,OfficeHolder,Artist,4
23,Oliver Benjamin, Oliver Benjamin is an American journalist and author. He is best known for having founded the religion Dudeism.,WrittenWork,Artist,13
24,Maia Hirasawa, Maia Hirasawa (born May 5 1980) is a Swedish singer-songwriter of Swedish and Japanese parentage.She was born and raised in Sollentuna Stockholm Sweden but has lived for many years in Gothenburg. Maia became known through Annika Norlin's band Hello Saferide where she is a back-up singer. Her solo career began in early 2007 when the song And I Found This Boy started being played heavily on Swedish radio.,Film,Artist,12
25,Miss Dominique, Miss Dominique [as she is generally known as] born Dominique Michalon September 7 1978 in Sarcelles France is a French singer and second-place finalist of the fourth edition of Nouvelle Star [based version of Pop Idol]. Her parents are both Caribbean.,Athlete,Artist,3
26,Riza Talabani, Sheikh Riza Talabani (Şêx Rizayê Telebanî in Kurdish) (1835–1910) a celebrated Kurdish poet from Kirkuk Iraq. Talabani wrote his poetry in Kurdish Turkish Persian and Arabic.,WrittenWork,Artist,13
27,Tony Barber (bassist), Anthony 'Tony' Barber (born 20 April 1963 North Middlesex Hospital Edmonton London England) is a former bassist of the British pop-punk band Buzzcocks.He was a member of post-punk band Lack of Knowledge between 1979 and 1985 and Boys Wonder between 1987 and 1988. He joined Buzzcocks in 1992.,Athlete,Artist,3
28,A. P. Younger, A.P. Younger; born Andrew Percy Younger (September 25 1890 – November 29 1931) was an American screenwriter. He wrote for 60 films between 1919 and 1931.He was born in Sacramento California and committed suicide on November 29 1931 in Hollywood California.,WrittenWork,Artist,13
30,Shaun Norris (golfer), Shaun Norris (born 14 May 1982) is a South African professional golfer.Norris plays on the Sunshine Tour where he has won twice. He won the inaugural Africa Open in 2008 and the Nashua Masters in 2011. He also began playing on the European Tour in 2011 after graduating from qualifying school.,OfficeHolder,Athlete,4
33,Dan Uggla, Daniel Cooley Uggla (born March 11 1980) is an American professional baseball second baseman with the Atlanta Braves of Major League Baseball. He previously played for the Florida Marlins.Uggla finished third in the 2006 National League Rookie of the Year voting behind teammate and winner Hanley Ramírez and Ryan Zimmerman of the Washington Nationals but won the Players Choice and Sporting News NL ROY awards.,OfficeHolder,Athlete,4
34,Frank Decker, Frank Decker (February 26 1856 in St. Louis Missouri – February 5 1940 in St. Louis) was a 19th-century professional baseball player. Decker played in 3 games for the Syracuse Stars in 1879 and 2 games for the St. Louis Brown Stockings in 1882.,WrittenWork,Athlete,13
37,David Cadieux, David Cadieux (born November 25 1974 in Saint-Jean-sur-Richelieu Quebec) is a professional boxer from Canada who competed in the heavyweight division.,OfficeHolder,Athlete,4
38,Walter Greenhill, Walter Greenhill (19 June 1849 – 29 June 1913) was an English cricketer. Greenhill was a right-handed batsman. He was born at St John's Wood London.Greenhill made two first-class appearances for Sussex both against Surrey in 1868. In the first match against Surrey at The Oval Greenhill scored 15 runs before being dismissed by John Bristow while in their second-innings he was dismissed by Tom Sewell for 3 runs. Surrey won the match by 7 wickets.,WrittenWork,Athlete,13
45,Cate Faehrmann, Cate Faehrmann (born 17 March 1970) is an Australian politician environmental activist and the chairperson of Sea Shepherd Australia.Faehrmann was a Greens New South Wales member of the New South Wales Legislative Council from 2011 to 2013. She resigned from the Legislative Council in June 2013 in order to mount an unsuccessful bid for the Australian Senate at the 2013 federal election.,WrittenWork,OfficeHolder,13
50,British Rail Class 421, The British Rail Class 421 (or 4Cig) electrical multiple units were built at BR York Works between 1964 and 1972. Units were built in two batches and were initially introduced on services on the Brighton Main Line. Later units were introduced on services to Portsmouth. These units replaced older Southern Railway-designed units such as the 5Bel Brighton Belle units and 4Cor units.,EducationalInstitution,MeanOfTransportation,1
51,USS Gilmore (DE-18), USS Gilmore (DE-18) was an Evarts-class short-hull destroyer escort in the service of the United States Navy named after Commander Walter William Gilmore Supply Corps killed on 8 May 1942 while serving as the supply officer of the Lexington (CV-2) in the Battle of Coral Sea.Originally allocated to the United Kingdom under terms of the Lend-Lease Program the ship was launched as HMS Halder (BDE-18) on 22 October 1942 by Mare Island Naval Shipyard California; sponsored by Mrs. Otis J.,WrittenWork,MeanOfTransportation,13
53,Petlyakov VI-100, The Petlyakov VI-100 (Visotnyi Istrebitel – high altitude fighter) was a fighter/dive bomber aircraft designed and built in the USSR from 1938.,WrittenWork,MeanOfTransportation,13
