,Content,Predicted Category,Actual Category,LLM Output
25,Theodore Metochites (Greek: Θεόδωρος Μετοχίτης 1270–1332) was a Byzantine statesman author gentleman philosopher and patron of the arts. From c. 1305 to 1328 he held the position of personal adviser (mesazōn) to emperor Andronikos II Palaiologos.,Artist,OfficeHolder,Artist
109,Elevation 2001: Live from Boston is a concert film by Irish rock band U2. It was released as a two disc DVD set by Island Records in the United Kingdom on 26 November 2001 and by Interscope Records in the United States a month later. The video documents three concerts by the band performed in Boston Massachusetts during the first American leg of their 2001 Elevation Tour (see 2001 in music).,Film,Album,Film
181,Mark Lucas is the director of the United States Association of Blind Athletes.,OfficeHolder,Athlete,Office
249,Sara Horowitz is the founder of Working Today and Freelancers Union leading organizations of independent workers. She was an Echoing green fellow in 1995 and she was named a MacArthur Fellow in 1999. She graduated from Cornell University 1984.Her grandfather was vice-president of the International Ladies Garment Workers Union in New York and her father was a union lawyer.,OfficeHolder,Artist,Office
323,The Bond Electraglide was a carbon fiber electric guitar manufactured by Bond Guitars between 1984 and 1985. It resembled a matte-black 3-pickup Gibson Melody Maker (although with the 1962 onwards double cut-away) with a unique stepped aluminum fingerboard (anodized black) instead of traditional frets. Pickup switching volume and tone controls were completely digital powered by a large internal motherboard.,MeanOfTransportation,Company,Mean
385,Malmyzh (Russian: Малмыж) is the name of several inhabited localities in Russia.Urban localitiesMalmyzh Kirov Oblast a town in Malmyzhsky District of Kirov Oblast; 56°32′N 50°41′ERural localitiesMalmyzh Amursky District Khabarovsk Krai a settlement at the station in Amursky District of Khabarovsk KraiMalmyzh Nanaysky District Khabarovsk Krai a selo in Nanaysky District of Khabarovsk Krai,Village,NaturalPlace,V
393,Star Comics was an imprint of Marvel Comics that began in 1984 and continued to publish comic books until early 1988. Titles published by the imprint were aimed at child readers and were often adaptations of children's television series animated series or toys. Several of the original titles consciously emulated the house writing and visual style of then recently defunct Harvey Comics titles such as Richie Rich.,WrittenWork,Company,Written
483,Hungry Girl is a free daily e-mail subscription service about healthy eating that launched in May 2004. Approximately one million people receive HG's daily emails.Hungry Girl is run by Lisa Lillien a media executive who has also held positions at Nickelodeon and Warner Bros.,WrittenWork,Company,Written
495,Ongpangkong is the largest mountain range in Mokokchung District in India. The district headquarters Mokokchung is itself located in this range. Important villages are Longsa Ungma Chungtia Longkum Mokokchung Village Khensa Aliba Mangmetong Mekuli Kinunger etc.,NaturalPlace,Village,Natural
538,Fort Tryon Park is a public park located in the Hudson Heights Washington Heights and Inwood neighborhoods of the borough of Manhattan in New York City. The park extends from West 190th Street in the south to Dyckman Street in the north and from Broadway in the east to Riverside Drive and the Henry Hudson Parkway in the west.,NaturalPlace,Building,Natural
629,Hilde Haugsgjerd (born 7 July 1952) is a Norwegian newspaper editor.She was born in Oslo. She was the party leader of the Red Electoral Alliance from 1979 to 1981 and was married to the party's first leader Sigurd Allern from 1972 to 1977.She worked as a journalist in Klassekampen and Dagbladet as well as information director of Rikshospitalet before becoming a newspaper editor.,OfficeHolder,Artist,Office
632,Matchless is one of the oldest marques of British motorcycles manufactured in Plumstead London between 1899 and 1966. A wide range of models were produced under the Matchless name ranging from small two-strokes to 750 cc four-stroke twins.,MeanOfTransportation,Company,Mean
694,Navia mima is a species of the genus Navia. This species is endemic to Venezuela.,Animal,Plant,Animal
957,Lions of Medina is a book written by historian Doyle Glass first published by Coleche Press on May 1 2007 and subsequently by NAL Caliber (Penguin) on July 1 2008.,WrittenWork,Artist,Written
1128,Inspired by Guru's Jazzmatazz project the German formation Jazzkantine was founded in 1993 in Braunschweig. Their first album Jazzkantine won them the Echo Award in 1995 the most important German music prize.The music of Jazzkantine is a cross-over between jazz funk and hip hop music: German rap over music and beats heavily influenced by jazz standards often interpreted in a very funky way. This genre is also known as jazz rap.,Album,Artist,Album
1180,Winifred Hamrick Farrar (5 March 1923 – 6 November 2010) was the Poet Laureate of Mississippi from 1978 to 2010.She was born on a family farm near Collinsville. She graduated from the University of Mississippi in 1945 married Robert H. Farrar and taught English for thirty years in public schools in Meridian. She earned a Master's degree from the University of Southern Mississippi in 1962.She was appointed Poet Laureate on 31 July 1978 by Governor Cliff Finch.,OfficeHolder,Artist,Office
1195,Ingebrigt Steen Jensen (born 9 May 1955) is a Norwegian writer consultant advertising man and football official.Steen Jensen is educated at the University of Oslo where he studied English Norwegian and political science.He has worked in advertising since 1982. During the 1990s Steen Jensen took part in the building of JBR advertising agency which was sold to IPG (InterPublic Group) under the name McCann-Erickson Advertising; now known as McCann Worldgroup Norway and Dinamo.,OfficeHolder,Artist,Office
1502,William Farquhar Payson (1876-1939) was an American author. He was born in New York city February 18 1876 the son of Francis and Mary F. (Dabney) Payson and grandson of John Larkin and Frances (Lithgow) Payson and of Charles Henry and Ellen M. (Jones) Dabney and a descendant of Edward Payson (1614–1675). He received his preparatory education in England and in New York city; was a student at Columbia University 1892–93 and in 1893 engaged in journalism.,OfficeHolder,Artist,Office
1505,José Antonio Lacayo de Briones y Palacios (1679–1756) was an intendant or intendente (a type of viceroyal governor) in Central America during the Spanish colonial period. He was Governor of Costa Rica from 1713 to 1717 and Governor of Nicaragua from 1740 to 1745.,OfficeHolder,Artist,Office
1555,Hugh Philp (1786–1856) was one of the most celebrated golf club makers of his era.Born in Cameron Bridge in Fife he moved to nearby St Andrews to establish a carpentry joinery and housepainting business. In 1812 he started to repair and then make golf clubs as a sideline. This sideline became a great success and he subsequently opened a shop and workshop adjacent to the links.,Artist,Athlete,Artist
1558,Michael Gecan is a community organizer in New York affiliated with the Industrial Areas Foundation. He was trained in part by Saul Alinsky. He is lead organizer for East Brooklyn Congregations and other New York based organizations. He is the executive director of United Power for Action and Justice a Chicago Based Industrial Area Foundation affiliate. He is the author of Going Public: An Organizer's Guide to Citizen Action (Anchor Books 2004).,OfficeHolder,Artist,Office
1797,Technocity is a technology park and integrated township in Thiruvananthapuram (Trivandrum) Kerala India dedicated to electronics software and other Information Technology (IT) ventures. It is conceived in 2005 as the fourth phase of development of Technopark Technocity is a complete IT City spread across about 500 acres (200 hectares) which includes not just space for IT/ITES firms but also residential commercial hospitality medical and educational facilities.,Building,Company,Building
